#id redshift distance galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.u sloan.sdss.u_err sloan.sdss.g sloan.sdss.g_err sloan.sdss.r sloan.sdss.r_err sloan.sdss.i sloan.sdss.i_err sloan.sdss.z sloan.sdss.z_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err spitzer.irac.I1 spitzer.irac.I1_err spitzer.irac.I2 spitzer.irac.I2_err spitzer.irac.I3 spitzer.irac.I3_err spitzer.irac.I4 spitzer.irac.I4_err spitzer.mips.24mu spitzer.mips.24mu_err spitzer.mips.70mu spitzer.mips.70mu_err spitzer.mips.160mu spitzer.mips.160mu_err herschel.pacs.blue herschel.pacs.blue_err herschel.pacs.green herschel.pacs.green_err herschel.pacs.red herschel.pacs.red_err herschel.spire.PSW herschel.spire.PSW_err herschel.spire.PMW herschel.spire.PMW_err herschel.spire.PLW herschel.spire.PLW_err
NGC3254 0 36.30780069 5.54954102233 0.25900772034 6.723600477220001 0.196081866619 19.0898339381 3.94984772953 57.4845741171 3.73205898012 94.4136930652 2.94053228175 127.397173769 11.4225178606 149.21997236099998 12.2364460113 208.585149217 17.007538803600003 246.292137382 32.9729783225 176.85722341599998 24.6636150196 98.2394682572 3.3899404976 55.6872460387 3.28081673517 102.488049412 8.0112983906 92.6337972525 20.3328972223 94.4698841085 2.91271330034 59.5517018318 1.97441033287 71.1162036048 7.11040017459 112.576136616 4.5097120766700005 95.9799393991 6.1445543071 NaN NaN NaN NaN NaN NaN 3198.19265462 719.873639852 6054.70810399 676.029049827 3935.84065855 277.598980849 2157.86758397 327.919669874 1047.96749255 71.1708475582
UGC05720 0 24.9 3.92047587171 0.1799093666349999 5.42103757699 0.151207287004 10.0578267416 0.5422747466540001 20.5283993888 0.5002017788869999 31.3434981552 0.865098486053 35.8505749428 1.45629026214 39.8641223932 2.32004599549 62.5538759556 8.22694302305 100.945533067 24.5364397854 78.6243804692 12.1056656962 26.2810264934 1.27883956689 16.6612991943 1.72807448178 170.54381183799998 8.28618364783 875.326725481 49.612727924 28.3246582688 2.0874552728 20.4294958344 1.09430790867 24.7603349124 6.54327411941 NaN NaN 880.9742237080001 44.2618637668 4086.65682636 421.744953875 3421.60433916 418.655891784 4669.47184244 767.043014396 5240.570834409999 697.2502410530001 4508.025839970001 782.388237763 1564.79220486 192.258449895 700.1674911709999 92.5674221128 289.81040261500004 51.6522018896
NGC3277 0 25.0 1.62362440391 0.3581079746359999 2.97829512354 0.140346442794 16.6894738668 1.07737759474 63.9761752145 0.767047036082 115.696047911 1.25117253298 160.101004856 2.23676193807 185.129365627 6.37893840374 243.402703415 13.6090639842 295.800400716 25.2138295686 239.338267125 18.8611786876 115.231413627 4.11165341557 59.8982343756 3.46555717436 70.6633764729 7.11239185914 63.3317062609 17.5881736391 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1187.18872991 1436.41651865 2354.03244622 2003.55563405 1428.8839182299998 191.400207464 595.689746314 177.812813118 263.93601752 122.059213518
NGC3287 0 13.99587028 3.36102295277 0.219691058945 4.50298987696 0.137142834045 12.6600391167 1.78315297419 31.5194813903 0.841908226723 50.5428612034 2.03041210715 61.6764379877 2.34652484106 51.0884596754 8.319653212999999 88.3411603867 12.6047039619 91.380370681 39.8785019296 69.8940788179 20.9559495808 47.4377743336 2.2298493025500004 28.2669182778 2.8831364935200003 122.982898449 9.79245325176 182.040946581 19.5621762307 49.9862889891 1.82584343458 33.8856306524 1.2861518141 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 4234.81636802 619.857166952 5517.066219400001 776.3507396809999 3685.84688013 214.94987795 1779.71362445 122.026546269 696.725249562 62.2682085829
NGC3294 0 30.06074137 6.11414729242 0.2801956398769999 9.65264243141 0.267952494982 28.7928585726 1.48256065403 86.4328012899 2.00578391344 147.454584619 1.918352592 198.856960965 3.58754375491 238.85768485 5.72226587014 336.336588243 19.7871490815 426.1396910410001 55.7489268709 347.96813718000004 33.7514241601 179.46191081 5.76805526529 108.858039565 4.73223351495 541.34015936 25.5294326547 732.674458179 43.0827888624 173.797870542 5.2839495984900005 116.273887129 3.68682279143 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 19334.0240883 1852.12965258 22893.2380453 2091.93461411 12505.4596927 694.608670457 5350.07566017 302.348271684 1938.15658792 115.921177807
NGC3301 0 25.15 0.702093431862 0.0607289873903999 1.03262915744 0.0756850372702 19.0421295665 1.1923767603 67.6078843465 0.8691257384390001 128.256863816 1.36838880944 181.901851444 3.7456487372 215.737632445 3.96693883817 296.53859570000003 19.0398539872 303.520938756 39.0229949546 233.897638245 29.2302678216 138.075403143 4.39260708301 78.8411076419 3.3973943016600003 35.0380207238 5.64569805334 53.7195040662 19.7537917045 131.320718444 4.00521877925 83.4669187812 2.59962458473 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN -78.4115910014 417.627736597 612.057214131 560.990879623 313.73737725 77.99275835739999 103.727549995 49.5547758817 35.0360022754 27.8047198045
NGC3338 0 23.33458226 16.3968820043 0.89729905513 19.8104844508 0.546307756906 54.2777146335 1.77027527487 138.47677459599998 2.54231272393 223.65904826 2.92586538186 318.07141285 4.22398489941 331.355936278 9.62886457748 367.900913886 21.1055067571 276.59830509200003 84.55426069910001 9.17330373571 41.1547774683 195.363092608 7.09336364835 106.079579419 7.396137007809999 453.38202698 26.6488733827 447.21269723 40.4521988667 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 14572.163011 2961.22270428 20127.5848531 2889.21027008 13283.0022648 783.113500799 6603.00026955 417.102879784 2604.74131292 198.753339291
NGC3351 0 9.908315184 17.1660293451 0.848398956298 29.1986649631 1.01798591087 97.6661335859 15.7845453515 359.274491485 14.0889496369 661.142121289 24.0276706198 925.531586271 33.9372296641 1132.33676006 47.4576454255 1636.3349675000002 146.488605981 2010.47586999 462.627960857 1590.74350929 249.094814852 776.785980386 39.8068075186 414.360213449 28.7803750387 1263.97733186 102.785352722 2522.8441791 245.34843505600003 NaN NaN NaN NaN NaN NaN NaN NaN 2390.97511141 125.557546165 NaN NaN NaN NaN 31348.044873500003 6513.074023149999 52811.6088377 7199.5452283 53914.1004123 5134.73155372 31329.5664245 1771.1203074599998 14114.8493127 860.7783469369999 5185.11823278 411.655658763
UGC05846 0 19.3 0.911853136994 0.0439109037125 1.06064828655 0.0355199870539 1.84025913299 0.3008327077959999 3.96303968723 0.343369861238 5.12550517657 0.606628338257 5.16267015291 0.893065801262 7.24748632363 1.79559293293 7.76379089427 4.93664860729 -24.8807957419 14.2882596548 3.32674610415 8.17021373557 2.90328881187 0.850600828981 1.2628397933000002 1.37082533421 3.68431879721 2.1276395041700003 7.45852787168 6.66122329349 2.8784002335 1.55796903368 2.22064395637 1.13450233242 NaN NaN NaN NaN NaN NaN 20.9932866814 29.4442420736 NaN NaN NaN NaN -1357.44224294 1137.20562838 734.2274617559999 1225.86585546 35.4462282066 89.78819801350001 26.7069750513 84.6613910291 30.5684568459 46.4809807133
NGC3353 0 18.94 4.87901835159 0.220508961034 6.10481819149 0.167548473762 12.8540875364 0.749196246367 25.9508116833 0.391393067539 35.5783626036 0.6312997735229999 39.5976393642 0.919810377439 42.8148594552 2.15150860843 59.3275550892 6.55686356105 73.76802193030001 23.3942096287 53.2960300399 19.4968489795 27.4224855858 1.24514739847 19.2682880296 1.30681928823 183.130052039 8.79995459329 895.9711823370001 50.6584888534 29.5586540083 1.68277506652 22.5663489532 1.54134377392 1.37961203313 15.1269165878 119.686102109 4.3880391772000005 884.777660613 45.445848577 5185.74894572 563.3712449540001 5755.0059381 699.678685116 5624.24715038 785.280857385 5509.18850947 1384.62951744 4638.00883542 874.027976115 2132.69758647 157.423459292 927.853183075 102.246892949 333.72824880200005 50.2067067977
